ID,In NGC_663?,,,,Alt Prob
Gaia DR3 511217488963787776,0,,,,1
,,,,,
Gaia DR3 511240647423372928,0,,,,1
,,,,,
Gaia DR3 511240643124139008,0.023391813,,,,0.976608187
,,,,,
Gaia DR3 511217763833718400,0.005847953,,,,0.994152047
,,,,,
Gaia DR3 511240716150391552,0.903508772,,,,0.096491228
,,,,,
Gaia DR3 511217695122216832,0,,,,1
,,,,,
Gaia DR3 511240647428819584,0.914473684,,,,0.085526316
,,,,,
Gaia DR3 511193707721476608,0.950138504,,,,0.049861496
,,,,,
Gaia DR3 511217759538492160,0,,,,1
,,,,,
Gaia DR3 511264218205978496,0,,,,1
,,,,,
Gaia DR3 511217106703297920,0,,,,1
,,,,,
Gaia DR3 511216939200254592,0.68128655,,,,0.31871345
,,,,,
Gaia DR3 511264183850593920,0.084795322,,,,0.915204678
,,,,,
Gaia DR3 511264664886998912,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511217042279456512,0,,,,1
,,,,,
Gaia DR3 511217695126265600,0,,,,1
,,,,,
Gaia DR3 511264355649274880,0,,,,1
,,,,,
Gaia DR3 511264316983973120,0.070175439,,,,0.929824561
,,,,,
Gaia DR3 511217110999643520,0,,,,1
,,,,,
Gaia DR3 511264218210330240,0.084795322,,,,0.915204678
,,,,,
Gaia DR3 511264694941517824,0,,,,1
,,,,,
Gaia DR3 511193712023508096,0.994152047,,,,0.005847953
,,,,,
Gaia DR3 511216969264377856,0.01754386,,,,0.98245614
,,,,,
Gaia DR3 511217488963787904,0.274853801,,,,0.725146199
,,,,,
Gaia DR3 511217695115147136,0,,,,1
,,,,,
Gaia DR3 511193712023507968,0,,,,1
,,,,,
Gaia DR3 511264664882658816,0,,,,1
,,,,,
Gaia DR3 511264664886919808,0.002923977,,,,0.997076023
,,,,,
Gaia DR3 511240647422706816,0.00877193,,,,0.99122807
,,,,,
Gaia DR3 511264351346465920,0,,,,1
,,,,,
Gaia DR3 511216939201168256,0,,,,1
,,,,,
Gaia DR3 511217007919678464,0.020467836,,,,0.979532164
,,,,,
